description,id,keywords,name,slug,thumbnail_url,cook_time,prep_time,total_time,ratings_negative,ratings_positive,score,protein,fat,calories,sugar,carbohydrates,fiber,owner_id,difficulty,servings,category
This content is intended solely for users of legal drinking age. Drink responsibly.,261,"tasty, tasty_contains_alcohol, tasty_vegetarian",Beer & Cheese Pretzel Bites,beer-cheese-pretzel-bites,https://img.buzzfeed.com/video-api-prod/assets/c3f45670b71640628f6b34e7005be29a/BFV6093_BeerCheesePretzelBites_ThumbnailFB1080sq.jpg,34,55,52,14,208,94,9,11,230,0,19,0,mymealuser,1,6,vegetarian
"If you’re craving tacos but not all the carbs, you’ll love these lightened-up stuffed peppers. The peppers are hollowed out and roasted in the oven, then stuffed with ground beef, black beans, brown rice, corn, and salsa. It’s everything you love about tacos, all in an edible vegetable bowl. You can always swap ground beef for chicken or turkey, or stick to rice and keep this recipe totally vegetarian.",339,,Taco-Stuffed Peppers,taco-stuffed-peppers,https://img.buzzfeed.com/video-api-prod/assets/84475551c69b4666a82929141195c040/BFV5383_Taco-StuffedPeppers-Thumb1080SQ.jpg,55,0,55,40,2426,99,38,28,667,13,66,10,mymealuser,2,4,
This content is intended solely for users of legal drinking age. Drink responsibly.,345,"tasty, tasty_contains_alcohol, tasty_vegetarian",Boozy Chocolate Orange Fondue,boozy-chocolate-orange-fondue,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/6bdf1180216d48759c623cbf79ac0a09/Chocolate_Orange_Fondue.jpg,54,17,58,10,20,67,4,28,343,20,23,1,mymealuser,3,4,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,359,"tasty, tasty_contains_alcohol, tasty_vegetarian",Bourbon Balls Submitted By Isabelclane,bourbon-balls-submitted-by-isabelclane,https://img.buzzfeed.com/video-api-prod/assets/5ec2ca5fee054e849afc314445c38f55/BFV5147_Bourbon-Balls_ThumbA.jpg,45,51,57,3,42,94,1,5,118,10,12,0,mymealuser,1,5,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,360,"tasty, tasty_contains_alcohol, tasty_vegetarian",Rum Poached Pears,rum-poached-pears,https://img.buzzfeed.com/video-api-prod/assets/f6372e1df3074f90add62b2e552caa43/BFV5263_RumPoachedPears_BeautyShot03.jpg,52,45,55,9,32,79,1,3,356,60,67,3,mymealuser,2,5,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,371,"tasty, tasty_contains_alcohol",Easy Stout Beer Chili,easy-stout-beer-chili,https://img.buzzfeed.com/video-api-prod/assets/9d8a645144b74f97a4b2ea61b85435dc/BFV5076-Stout-Chili-Thumb.jpg,45,59,15,24,526,96,55,30,821,13,78,22,mymealuser,3,6,
This content is intended solely for users of legal drinking age. Drink responsibly.,396,"tasty, tasty_contains_alcohol",Beer Cheese Beer Brats,beer-cheese-beer-brats,https://img.buzzfeed.com/video-api-prod/assets/37f0f4772f5e4c5abc99666e6a9de23f/BFV3251_BeerCheeseBeerBrats-Thumb1080.jpg,35,33,58,21,237,92,26,50,737,4,33,0,mymealuser,3,5,
"This simplified version of the Indian classic combines chicken, tomato sauce, and a slew of aromatic spices all in one pot to make a flavorful dinner that’s just as good as the version you’ll get at restaurants — only way easier to make.  Serve it over rice with a bit of cilantro to balance the heat and dinner is done.
",432,,Easy Butter Chicken,easy-butter-chicken,https://img.buzzfeed.com/video-api-prod/assets/6e6a56c27c68410991ce7d4e4acc7dee/BFV8692_Easy_Butter_Chicken_Thumb.jpg,25,10,50,108,4439,98,74,52,799,8,15,3,mymealuser,2,2,
"Forget dry pork chops because these pan-fried cutlets are coated in golden panko bread crumbs and stuffed with a creamy garlic and herb cheese filling to keep them juicy.  They’re tender, bursting with flavor, and come together in less than 30 minutes.  If you’ve only ever had dry, sad pork chops before and want to try something different, this is the recipe for you.",447,,Garlic Herb-stuffed Pork Chops,garlic-herb-stuffed-pork-chops,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/ad4b46292502458bb556047108be4c2d/BFV8521_Garlic_Herb-Stuffed_Pork_Chops-FB1080.jpg,25,0,25,82,1923,96,58,71,1077,4,50,1,mymealuser,1,5,
"Everyone’s on a different diet nowadays, from Paleo and Whole30 to the ever-popular Keto, everyone’s got their thing. But that doesn’t mean your dining choices have to end! Our slow cooker shredded tacos are perfect for a variety of lifestyles. The best part? We even tell you how to store your leftovers so you can enjoy this whenever the craving strikes. Future You will thank you every time!",453,,Slow Cooker Shredded Chicken Tacos,slow-cooker-shredded-tacos,https://img.buzzfeed.com/video-api-prod/assets/16dbf6066a4e457dae7b39d11d6d4c96/BFV8373_SlowCookerShreddedChickenTacos-Thumb1080.jpg,15,42,38,28,1481,99,38,4,227,2,5,1,mymealuser,3,5,
"Whether you’re vegetarian or not, this black bean burger recipe will hit every spot. Made with black beans, oats, onion, and carrots, and spiced up with cumin, coriander, and cayenne, this burger is so good you’ll wonder whether you ever want to go back to the carnivore version. Cook the patties on a pan covered in cooking spray, or use a slightly more generous pour of cooking oil for a crispier finish.",474,"tasty, tasty_vegetarian",Black Bean Burgers,black-bean-burgers,https://img.buzzfeed.com/video-api-prod/assets/53125c5621bf480d8ae4f02b1cf4ea78/BFV8045_BlackBeanBurgers-Thumb1080B.jpg,15,0,15,89,1538,95,22,8,533,9,93,18,mymealuser,2,5,vegetarian
"Getting take-out is a crave-worthy indulgence. And with our easy chicken veggie stir fry recipe, you can recreate the magic of a Chinese takeout right in your very own kitchen. Feel free to mix up the protein or vegetables depending on what you have in your fridge. The simple sauce packs a flavor punch that will bring the dish together, no matter what.",538,,Chicken & Veggie Stir-Fry,chicken-veggie-stir-fry,https://img.buzzfeed.com/video-api-prod/assets/cf779f07644e43d988e37652a4987d7f/BFV12730_ChickenBroccoliandMushroomStirFry-ThumbTextless1080.jpg,12,20,32,366,8169,96,27,20,393,4,23,2,mymealuser,3,3,
"Cinnamon rolls and apple pie all in one? It's almost too good to be true! This amazing dessert only has 5 ingredients and is perfect to make for Thanksgiving, a holiday party, or even just to enjoy the fall weather. ",596,"apple, apple pie, bake, cinnamon roll, dessert, tasty, tasty_vegetarian",Cinnamon Roll Apple Pie,cinnamon-roll-apple-pie,https://img.buzzfeed.com/video-api-prod/assets/2ce1a4cd2f5945f2993837495e0972dd/BFV13708_CinnamonRollApplePie-ThumbTextless1080.jpg,60,0,60,121,2017,95,3,4,290,37,62,4,mymealuser,1,5,vegetarian
"It’s the end of yet another long day and well, you’re ready to put your feet up, relax, and tuck into a comforting meal. Delivery might be calling your name, but you’ve got a ton of chicken lying around and with not much else to do, now’s the perfect time to whip up a batch of these simple and cozy chicken and dumplings. Tuck in now. ",612,"chicken, comfort, dumplings, food, soup, southern, stew",Cozy Chicken And Dumplings,cozy-chicken-and-dumplings,https://img.buzzfeed.com/video-api-prod/assets/66b0e3ddd9db461c90196060a48b293a/FB_thumb-2.jpg,35,0,35,149,4468,97,11,56,964,85,108,4,mymealuser,2,6,
"Nothing spells comfort like Italian food. Steaming bowls of pasta, buttery, roasted garlic bread, and tureens of the most flavorful sauces: it’s all right there. Sometimes, you want to bring that comfort into your very own kitchen and, well, we’ve got just the recipe for you. This easy chicken alfredo penne will have you saying ‘mangia!’ before you even know it. ",649,"buzzfeed, cheese, chicken alfredo, delicious, easy, pasta, penne, tasty",Easy Chicken Alfredo Penne,easy-chicken-alfredo-penne,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/9768.jpg,18,15,33,260,7492,97,40,16,573,6,64,2,mymealuser,3,2,
"This cheesy potato casserole is the perfect way to feed a family of picky eaters. With all of the components of beloved loaded potato skins (like bacon, sour cream, and cheese), it’s practically impossible for anyone to dislike this casserole. It’s make-ahead friendly, filling, and easily made vegetarian by omitting the bacon. If you’re looking for the ultimate weeknight casserole, this is your recipe.",653,"baked potato, casserole, cheese, potato, side dish, sour cream",Cheesy Potato Casserole,cheesy-potato-casserole,https://img.buzzfeed.com/video-api-prod/assets/6d5e798c1c834344933ed2c055383271/thumb2.jpg,65,0,65,50,1149,96,13,24,396,3,30,2,mymealuser,1,4,
Learn to master this Japanese classic dish in your own home! Get ready to whip a lot of egg whites to create this exciting jiggly texture as well as layer in flavors like cream cheese.,667,"fluffy cheesecake, japanese cheesecake, jiggly cheesecake, tasty, tasty_vegetarian",Fluffy Jiggly Japanese Cheesecake,fluffy-jiggly-japanese-cheesecake,https://img.buzzfeed.com/video-api-prod/assets/102e3efff7e84b0f9e15e02477e6d55a/BFV15308_JapaneseFluffyCheesecake-ThumbD1080.jpg,80,25,105,905,2965,77,30,41,659,28,40,1,mymealuser,3,2,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,692,"tasty, tasty_contains_alcohol",Rosé And Berry Gummies,rose-and-berry-gummies,https://img.buzzfeed.com/video-api-prod/assets/b89a30fd10d34370a59b36a69c336f2e/FBB.jpg,37,41,37,26,134,84,2,0,46,6,6,0,mymealuser,3,6,
"Easy breakfast frittatas for all! While you refrigerate your egg mixture, fry up bacon, tomatoes, spinach, and onion — or really, whatever vegetables you have in the pantry or are in season. Mix everything together in an oven-safe pan, sprinkle with cheese, and bake for 15 minutes. Top this super simple meal with some chopped green onions and pair with a salad, some fruit, or (better yet!) a mimosa.",706,,Easy Breakfast Frittata,easy-breakfast-frittata,https://img.buzzfeed.com/video-api-prod/assets/36ee32d44b36407eac11faa8630e057f/FBC.jpg,39,48,27,18,866,98,15,20,259,2,4,0,mymealuser,2,3,
"Sometimes the best things come in one pot! This baked chicken and rice dish saves you the cleanup without skimping on flavor. After you quickly pan fry your seasoned chicken, remove it and cook garlic and onions in the leftover juices. Add rice and broth, cook everything, and top with the chicken before baking for another 35 minutes (optional: broil the chicken separately to get a crispier skin.) You’ll be left with a mountain of food so delicious, you’ll meal prep this super easy recipe at least once a week forever.",746,"buzzfeed, chicken, delicious, dinner, easy, nom, paprika, rice, tasty",Paprika Chicken & Rice Bake,paprika-chicken-rice,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/13385.jpg,16,29,34,188,7640,98,36,20,536,3,47,0,mymealuser,3,2,
"Maybe you’re on the keto diet or maybe you’re just trying to eat fewer carbs. Regardless, you can and should still be eating pizza, thanks to this cauliflower crust recipe. Start with cauliflower florets and turn them into cauliflower rice. Then, add cheese, spices, and egg, and bake the crust until it’s golden-brown. Add your favorite toppings and call it pizza night.",755,"alternative, buzzfeed, cauliflower, cauliflower crust, delicious, healthy, low-carb, new year, pizza, tasty, tasty_vegetarian, vegetarian",The Best Ever Cauliflower Pizza Crust,cauliflower-crust-pizza,https://img.buzzfeed.com/video-api-prod/assets/73c9c0d67285449b97a7ac670e5db2de/BFV16525_CauliflowerCrustPizza_ThumbC.jpg,20,0,20,85,763,90,19,11,243,7,21,7,mymealuser,1,5,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,761,"tasty, tasty_contains_alcohol, tasty_vegetarian",Strawberry and Champagne Cupcakes,strawberry-and-champagne-cupcakes,https://img.buzzfeed.com/video-api-prod/assets/9523dbdcd3714090a542dfac6a0a9e11/Strawberry_and_Champagne_Cupcakes_Textless_Thumbnail.jpg,25,42,16,13,42,77,2,24,537,74,78,0,mymealuser,2,5,vegetarian
"This cookie dough recipe is indulgent, egg-free, and 100% edible without baking it. Toasting the flour in the oven makes it safe to eat, and four fun recipe variations (like a triple chocolate chunk version) let you customize it to your taste.  Make one version, or make them all for the ultimate late-night sweet.",779,"tasty, tasty_vegetarian",Edible Cookie Dough 4 Ways,edible-cookie-dough-4-ways,https://img.buzzfeed.com/video-api-prod/assets/443b35cfb2644cec987fc95864bf1939/fbthumb.jpg,5,0,5,489,3509,88,17,82,1336,75,141,6,mymealuser,2,4,vegetarian
"This Chinese-style pork belly is sweet, salty, and perfectly tender. Slowly cooking the pork in a flavorful mixture of garlic, ginger, and brown sugar gives it that signature sticky-sweet glaze that pairs perfectly with salty soy sauce. Serve it over rice for the ultimate dinner and forget you ever wanted to order take-out.",815,"chinese glazed pork belly, chinese pork belly, glazed pork belly, hong shao rou",Chinese-style Glazed Pork Belly,chinese-style-glazed-pork-belly,https://img.buzzfeed.com/video-api-prod/assets/024f4cde9e574cc68953f98243e3d30f/BFV17463_ChineseStyleGlazedPorkBelly-ThumbA1080.jpg,60,0,60,91,1165,93,11,56,964,85,108,4,mymealuser,2,5,
"Homemade gnocchi sounds tricky, but the actual process is pretty easy — and well worth the effort. After boiling, peeling, and mashing some potatoes, you’ll whisk them with an egg to make the “dough”. Then comes the fun, soothing part: put on your favorite playlist or podcast while you knead, cut, and add little indentations to every piece. Once they’re done, you simply boil them for 30 seconds and fry up in a decadent butter-sage sauce (or a sauce of your choosing.) Restaurant-level gnocchi accomplished!",816,"tasty, tasty_vegetarian",Easy Homemade Potato Gnocchi,easy-homemade-potato-gnocchi,https://img.buzzfeed.com/video-api-prod/assets/926dbe7dcb454e079331930ced3b4e5c/FB_Thumb.jpg,49,35,21,199,1671,90,21,15,880,5,163,11,mymealuser,3,3,vegetarian
"Nothing says Sunday morning like a warm, gooey batch of homemade cinnamon rolls. Finish them with a generous topping of frosting, and be prepared to lick brown sugar off your fingers for the rest of the afternoon.",868,"bake sale, breakfast, cinnamon buns, cinnamon rolls, dessert, frosting, homemade, recipe, tasty, tasty_vegetarian, today food, video, yeast",Homemade Cinnamon Rolls,homemade-cinnamon-rolls,https://img.buzzfeed.com/video-api-prod/assets/9d589367531e4c12a4937e30e521c865/fbthumb.jpg,30,30,151,475,17340,98,7,21,479,24,63,1,mymealuser,3,6,vegetarian
"America’s favorite comfort food gets an upgrade in this mac ‘n’ cheese variation that you can easily make by just adding a few steps to your usual pasta prep. Serve it as finger food, an appetizer, or simply an indulgent dinner dish paired with tomato soup.",888,"tasty, tasty_vegetarian",Fried Mac ‘n’ Cheese Sticks,fried-mac-n-cheese-sticks,https://img.buzzfeed.com/video-api-prod/assets/629dd019cf8c4202ab058cdc1d7ecefb/FB_fried_mac_thumbThumb.jpg,40,0,40,55,398,88,6,6,177,1,22,1,mymealuser,3,3,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,905,"dessert, italian, orange, proper tasty, semifreddo, tasty, tasty_contains_alcohol, tasty_vegetarian",Orange Semifreddo,orange-semifreddo,https://img.buzzfeed.com/video-api-prod/assets/0d447e0b9acd49ef9ff9bf98d4369dd7/IMG_2992_THUMB.jpg,57,38,20,2,56,97,11,34,613,56,66,4,mymealuser,3,4,vegetarian
"You’ve been itching for a change recently. You know, something to spice things up and throw a spanner into the monotony of routine. Enter: chicken tikka masala. Sure, it might take two days to throw together, but when you pair it with some fluffy steamed rice or buttery, garlic naan, it’s well worth the wait. Don’t believe us? Try it yourself! ",935,"butter chicken curry, chicken curry, chicken tikka, chicken tikka masala, easy chicken curry, easy chicken tikka masala, indian tikka masala",Homemade Chicken Tikka Masala,homemade-chicken-tikka-masala,https://img.buzzfeed.com/video-api-prod/assets/d03461e6d185483da8317cf9ee03433e/BFV18861_ChickenTikkaMasala-ThumbA1080.jpg,22,20,102,214,4425,96,34,34,485,10,19,4,mymealuser,1,3,
No oven but need a dessert that satisfies your taste buds AND your stomach? Look no further than these no-bake Buckeyes. All you need are four easy-to-find ingredients and a decent sweet tooth – we know you’ve got it all. It’s never not the time to throw together this quick and easy dessert that’s perfect for entertaining or even just for yourself!,965,"tasty, tasty_vegetarian",No-Bake Chocolate Peanut Butter Balls (Buckeyes),no-bake-chocolate-peanut-butter-balls-buckeyes,https://img.buzzfeed.com/video-api-prod/assets/6ad74bf61a32435ca0d89eebde93bc2b/BFV3450_Buckeyes-Thumb1080.jpg,54,44,59,84,1278,94,12,49,742,60,73,4,mymealuser,2,6,vegetarian
"This fun twist on a Hawaiian classic reimagines the rice base and transforms it into crispy “buns” that get filled with all the classic components, like hamburger patties, sunny-side up eggs, and savory homemade mushroom gravy. So serve them for dinner, pretend you’re in Hawaii, and enjoy!",974,,Loco Moco Rice Burger,loco-moco-rice-burger,https://img.buzzfeed.com/video-api-prod/assets/f8ca832e705d49c6a098e814bc4260e6/BFV8001_Loco-Moco-Rice-Burger_Thumb.jpg,20,0,20,19,80,81,58,38,831,11,52,1,mymealuser,1,6,
This content is intended solely for users of legal drinking age. Drink responsibly.,981,"tasty, tasty_contains_alcohol, tasty_vegetarian",Beer Pretzels With Beer Cheese Dip,beer-pretzels-with-beer-cheese-dip,https://img.buzzfeed.com/video-api-prod/assets/d621bb1ccbb74f8da5438c01d891a5a1/BFV12932_ObatzdamitBierbrezeln-ThumbTextless1080.jpg,26,54,40,11,61,85,26,33,760,6,85,4,mymealuser,1,6,vegetarian
"Two words: honey salmon! Sure, it takes a tiny bit of prep work, but once you marinate your salmon, you won’t be able to go back. A simple mix of honey, soy sauce, garlic, and ginger coats and flavors your fish for 30 minutes before you throw it on the pan until the outside is perfectly crispy. Once that’s done, you heat up and reduce some extra marinade to make a thick, to-die-for glaze to pour over your filet. Serve with your favorite veggies or rice and enjoy!",1047,,Honey Soy Glazed Salmon,honey-soy-glazed-salmon,https://img.buzzfeed.com/video-api-prod/assets/04ff8cfcc4b5428a8bcc6b03099d4492/Thumb_A_FB.jpg,39,24,52,75,3697,99,37,35,705,57,60,0,mymealuser,1,4,
"Looking to shake up your salad routine? We have just the recipe for you. Brussels sprouts are the star of the show here, and they get roasted in the oven with garlic powder until they’re perfectly charred. The whole salad is topped with a homemade creamy balsamic dressing you’ll want to make a big batch of for later.",1069,"brussel sprouts, food, goodful, healthy, roasted, salad, vegetarian",Roasted Brussels Sprouts Salad,roasted-brussels-sprouts-salad,https://img.buzzfeed.com/video-api-prod/assets/4c13cb2acde1419394f66a2709ba960e/BFV17121_Roasted_Brussels_Sprout_Salad_-_FB_thumb_2_-_1080x1080.jpg,25,0,25,8,215,97,10,21,314,12,24,6,mymealuser,2,4,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,1074,"tasty, tasty_contains_alcohol, tasty_vegetarian",Frozen Irish Coffee,frozen-irish-coffee,https://img.buzzfeed.com/video-api-prod/assets/6ccf991f920e4effa2e4272e52d31f1e/BFV17568_Frozen_Irish_Coffee-Thumb.jpg,58,45,35,23,200,90,8,68,824,33,37,1,mymealuser,2,3,vegetarian
"It’s your favorite take-out dish, but made exactly to your liking. And just like the classic Chinese-American dish, this recipe works great as leftovers when reheated in a microwave or over the stove. If you want to freshen it up, just chop up and throw in whatever vegetables you have in the fridge, like onions, bell peppers, or even water chestnuts.",1079,,Beef And Broccoli Stir-Fry,beef-and-broccoli-stir-fry,https://img.buzzfeed.com/video-api-prod/assets/73cf243e24c44ca0a4a42a54d04caaf4/BFV17622_BeefAndbroccoliStir-FryThumbD.jpg,15,0,15,35,1254,98,25,19,311,3,9,2,mymealuser,2,3,
This content is intended solely for users of legal drinking age. Drink responsibly.,1167,"bourbon, bourbon balls, chocolate, chocolate chip, derby, derby pie, dessert, kentucky derby, party, pie, tasty, tasty_contains_alcohol, tasty_vegetarian, walnut",Derby-Style Bourbon Balls,derby-style-bourbon-balls,https://img.buzzfeed.com/video-api-prod/assets/d6d23efb05654bd480dd4816cb9b0029/IMG_9430_fb.jpg,26,34,35,2,52,97,1,8,131,9,11,0,mymealuser,2,2,vegetarian
This content is intended solely for users of legal drinking age. Drink responsibly.,1204,"tasty, tasty_contains_alcohol, tasty_vegetarian",Vodka Chocolate Chillies,vodka-chocolate-chillies,https://img.buzzfeed.com/video-api-prod/assets/be8971a1854f44da99ce4ae6eb62ba20/BFV8172_VodkaChocolateChillies_THUMB_A.jpg,31,26,41,12,22,65,3,17,390,23,26,2,mymealuser,2,5,vegetarian
"Picture yourself on the coast of Tuscany, Italy. Flowy clothes, a beautiful breeze, and a view of the Tuscan Sea: you’re ready to book your next vacation, aren’t you? Well, we’re here to bring Tuscany to you. How, you may ask? Well, that’s what our easy Tuscan chicken is here for. Loaded with fresh veggies, herbs, and rich Parmesan cheese, it’ll have you saying ‘That’s amore!’",1425,,Creamy Tuscan Chicken,creamy-tuscan-chicken,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/1c4c0c0dece7467c9c4175cb759ed6a7/BFV14220_3CourseTuscanChickenDinner-FB.jpg,35,20,55,501,20278,98,40,64,714,6,9,1,mymealuser,3,5,
"French palmier cookies look like they’d involve a million steps, but did you know you can make them with just three ingredients? It really is as easy and simple as rolling out some store-bought puff pastry, sprinkling sugar and butter, and rolling it into that classic heart shape. As the cookies bake, the sugar caramelizes and makes them golden, making it a fancy-looking but non-fussy dessert that’ll impress all your friends!",1492,,Palmier Cookies Easy Dessert,palmier-cookies-easy-dessert,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/7e384da8f0cb4acc9a6e49a229a3f362/BFV11286_3IngredientDesserts2.jpg,35,26,15,52,908,95,4,35,578,35,63,0,mymealuser,2,5,
"This slow cooker pot roast only takes six ingredients to make thanks to a packet of onion soup mix.  It gives the roast a ton of flavor without a ton of work, and no one will even know it’s there.  The best part?  You just dump everything into the slow cooker, walk away for a few hours, and dinner practically cooks itself.  Serve it over egg noodles or rice and dinner is good to go.",1505,"beef, chicken, chili, cornbread, dinner, easy, kids, pork, slow cooker",The Best Ever Slow Cooker Pot Roast,slow-cooker-pot-roast,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/130f2ec857b64437b49aeb086ef5d599/BFV12369_4-Easy-Slow-Cooker-Dinners-FB1080SQ.jpg,480,0,480,72,1941,97,89,18,633,4,27,3,mymealuser,3,2,
"We’ve all had our cravings: sometimes sweet, sometimes salty. But have you ever craved both at once? Sometimes you just need your sweet-salty fix and, well, you can count on a Reese’s cup to deliver. Or, you can just make your own! With only three ingredients and the simplest of directions, these are way easier to throw together than you might think. Get ready for your very own candy factory extravaganza to begin! ",1512,"chocolate, cream, dessert, easy, ice cream, no-bake, peanut butter, strawberry",3-ingredient Peanut Butter Cups,3-ingredient-peanut-butter-cups,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/fb9d7e9596b6441086e68fe5eee87650/BFV12524_3-IngredientNo-BakeDesserts-FB1080SQ.jpg,25,21,31,85,1556,95,7,20,303,20,26,2,mymealuser,2,3,dessert
